,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,0.8508,0.861,0.8655,0.8692,0.8758,0.8676,0.8764,0.0,0.8746,0.0,0.876,0.0,0.8759,0.0,0.8765,0.0,0.876,0.0,0.8765,0.0,0.8732,0.0,0.8778,0.0,0.8654,0.8688
1,0.8521,0.86,0.8619,0.8643,0.8678,0.8728,0.8745,0.0,0.8729,0.0,0.8753,0.0,0.8737,0.0,0.8791,0.0,0.8806,0.0,0.8755,0.0,0.8751,0.0,0.8732,0.0,0.8641,0.8668
2,0.8496,0.8631,0.8706,0.8675,0.8706,0.8734,0.8779,0.0,0.8771,0.0,0.8781,0.0,0.8791,0.0,0.8802,0.0,0.879,0.0,0.8795,0.0,0.8755,0.0,0.8732,0.0,0.8681,0.8678
3,0.8375,0.8591,0.8679,0.8668,0.8732,0.868,0.8737,0.0,0.8776,0.0,0.8798,0.0,0.8773,0.0,0.8807,0.0,0.8779,0.0,0.879,0.0,0.8691,0.0,0.8713,0.0,0.8655,0.8645
4,0.8506,0.8619,0.8696,0.8672,0.8735,0.8723,0.8743,0.0,0.876,0.0,0.8774,0.0,0.8787,0.0,0.8757,0.0,0.8748,0.0,0.8727,0.0,0.8757,0.0,0.8686,0.0,0.86,0.8626
5,0.851,0.8534,0.8672,0.872,0.8725,0.8756,0.8715,0.0,0.8744,0.0,0.8774,0.0,0.8771,0.0,0.8768,0.0,0.8781,0.0,0.8808,0.0,0.8767,0.0,0.8771,0.0,0.8674,0.8701
6,0.8471,0.8617,0.8663,0.8691,0.8685,0.87,0.874,0.0,0.8721,0.0,0.8773,0.0,0.8749,0.0,0.876,0.0,0.8744,0.0,0.8765,0.0,0.8757,0.0,0.8751,0.0,0.8623,0.8642
7,0.8509,0.861,0.8662,0.8685,0.8668,0.8726,0.8702,0.0,0.8727,0.0,0.8724,0.0,0.8746,0.0,0.8736,0.0,0.8764,0.0,0.8773,0.0,0.8771,0.0,0.8735,0.0,0.8684,0.871
8,0.8478,0.8647,0.8698,0.8697,0.8725,0.8733,0.8734,0.0,0.8806,0.0,0.8797,0.0,0.8784,0.0,0.8721,0.0,0.8741,0.0,0.8724,0.0,0.8779,0.0,0.8731,0.0,0.8724,0.8699
9,0.8491,0.8582,0.8628,0.8706,0.873,0.8714,0.8717,0.0,0.8703,0.0,0.8797,0.0,0.8789,0.0,0.881,0.0,0.88,0.0,0.8792,0.0,0.8781,0.0,0.8717,0.0,0.863,0.8628
