,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.9496,0.9627,0.9686,0.9692,0.972,0.9733,0.9727,0.9734,0.9729,0.9732,0.9738,0.974,0.9712,0.9736,0.9714,0.9724,0.9741,0.9731,0.9726,0.9722
1,0.9487,0.9582,0.9645,0.9669,0.9703,0.9699,0.9711,0.9725,0.9731,0.974,0.974,0.9738,0.9737,0.9718,0.9732,0.9716,0.9731,0.974,0.9733,0.9724
2,0.9505,0.9612,0.9627,0.9668,0.9693,0.9696,0.9718,0.9722,0.9717,0.9726,0.9716,0.9733,0.9716,0.9726,0.971,0.9715,0.9739,0.9723,0.9683,0.9723
3,0.9495,0.9575,0.9622,0.9666,0.9665,0.9693,0.9699,0.9699,0.9716,0.9716,0.9721,0.9725,0.9712,0.9689,0.9712,0.9718,0.9708,0.9724,0.9716,0.9722
4,0.9501,0.9579,0.9658,0.9656,0.9696,0.9717,0.9685,0.9711,0.9725,0.973,0.9746,0.9725,0.9732,0.9727,0.9746,0.9733,0.9737,0.9759,0.9749,0.9733
