,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.4364,0.4605,0.4715,0.4757,0.4813,0.4825,0.4963,0.4918,0.4907,0.1037,0.3108,0.3291,0.3465,0.3533,0.3583,0.3612,0.3627,0.3692,0.3704,0.3686
1,0.4333,0.4583,0.4672,0.4783,0.4846,0.4866,0.4889,0.4909,0.4961,0.1071,0.2995,0.3298,0.3315,0.3425,0.3561,0.3622,0.3652,0.3702,0.3723,0.3738
2,0.4197,0.4549,0.4651,0.4697,0.476,0.4832,0.489,0.4815,0.487,0.1204,0.3374,0.3623,0.3669,0.3808,0.381,0.3886,0.3919,0.3906,0.3921,0.3902
3,0.4243,0.4565,0.4654,0.4802,0.4803,0.485,0.489,0.4906,0.4931,0.15,0.3255,0.333,0.3495,0.3563,0.3624,0.3581,0.3692,0.3707,0.3705,0.3724
4,0.4222,0.4561,0.4695,0.4754,0.4821,0.4833,0.4871,0.483,0.4873,0.1006,0.3071,0.3252,0.3517,0.3633,0.3752,0.3737,0.3793,0.3789,0.3824,0.3819
