,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.4239,0.4587,0.4666,0.4798,0.4854,0.496,0.4888,0.4943,0.4912,0.3684,0.4786,0.4798,0.493,0.486,0.4905,0.4918,0.493,0.4921,0.4896,0.4916
1,0.4183,0.4505,0.46,0.4746,0.4828,0.4794,0.4856,0.4888,0.4893,0.347,0.4753,0.481,0.4876,0.4816,0.485,0.4893,0.4889,0.4877,0.4875,0.4908
2,0.426,0.4469,0.4612,0.4738,0.4794,0.4771,0.4827,0.4858,0.4907,0.3804,0.4769,0.4809,0.4815,0.478,0.4887,0.4847,0.4881,0.4914,0.4887,0.4911
3,0.4192,0.4536,0.4686,0.4792,0.4864,0.4947,0.4968,0.4948,0.4921,0.3899,0.4877,0.4856,0.4913,0.4966,0.4972,0.5006,0.4985,0.5019,0.4947,0.4942
4,0.4176,0.4496,0.4651,0.4726,0.4794,0.4801,0.4786,0.4847,0.4897,0.384,0.4797,0.4821,0.4817,0.4901,0.488,0.489,0.4915,0.4891,0.4928,0.4915
