,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.43,0.4558,0.4691,0.4769,0.4839,0.4832,0.4841,0.4943,0.4912,0.2995,0.475,0.4807,0.4817,0.4843,0.4885,0.4887,0.4905,0.4911,0.4946,0.4961
1,0.4359,0.4634,0.4717,0.4822,0.4827,0.4934,0.4921,0.4845,0.4923,0.3242,0.4735,0.4868,0.4831,0.4851,0.4863,0.4823,0.4903,0.4911,0.4861,0.4877
2,0.4264,0.452,0.4656,0.4721,0.4823,0.4833,0.482,0.491,0.4878,0.2939,0.4646,0.4781,0.4806,0.4801,0.4822,0.4809,0.4832,0.4821,0.4837,0.4884
3,0.4223,0.4467,0.4681,0.4762,0.4797,0.4875,0.4892,0.491,0.4964,0.3204,0.474,0.4753,0.4807,0.4808,0.486,0.4842,0.486,0.4869,0.4827,0.4866
4,0.4289,0.4581,0.4745,0.4778,0.4824,0.49,0.4889,0.4856,0.4897,0.3103,0.4695,0.4755,0.4801,0.4894,0.4882,0.4884,0.487,0.4927,0.4936,0.49
