,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.8517,0.8613,0.8653,0.8662,0.8683,0.8695,0.8752,0.8729,0.8769,0.8716,0.872,0.8766,0.879,0.8744,0.8759,0.879,0.8786,0.8754,0.8797,0.8773
1,0.8497,0.8625,0.8633,0.8655,0.8681,0.874,0.8714,0.8677,0.8746,0.8756,0.8766,0.8711,0.8755,0.8745,0.8727,0.8767,0.8761,0.8753,0.8732,0.8781
2,0.8502,0.8605,0.8661,0.868,0.8652,0.8733,0.875,0.8795,0.8755,0.8747,0.8776,0.8754,0.8813,0.8785,0.8718,0.8824,0.8772,0.8781,0.8822,0.8801
3,0.8497,0.8612,0.8681,0.8683,0.8746,0.8734,0.8765,0.8757,0.8779,0.8791,0.8777,0.8794,0.8783,0.8797,0.8774,0.8774,0.8794,0.8757,0.8779,0.8791
4,0.8504,0.8628,0.8672,0.8679,0.8712,0.872,0.8676,0.8702,0.873,0.8733,0.8748,0.8743,0.8772,0.8735,0.8757,0.8755,0.8752,0.8757,0.8775,0.8688
