,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.8497,0.8599,0.8652,0.8674,0.8678,0.8703,0.8721,0.8711,0.8724,0.8646,0.8727,0.8754,0.8766,0.8756,0.8767,0.8771,0.8771,0.8783,0.8755,0.8745
1,0.8461,0.8547,0.8676,0.8703,0.8711,0.8684,0.8694,0.8711,0.8767,0.8679,0.8741,0.8709,0.8733,0.8767,0.8747,0.8742,0.8777,0.8805,0.8728,0.8766
2,0.8458,0.8618,0.8636,0.8686,0.8671,0.8714,0.8685,0.8756,0.8748,0.8648,0.8736,0.8757,0.8748,0.8766,0.878,0.8771,0.8783,0.8764,0.8796,0.878
3,0.8508,0.8686,0.8694,0.8705,0.8742,0.8747,0.8773,0.875,0.8753,0.8665,0.8755,0.88,0.8763,0.8771,0.8824,0.8782,0.883,0.8816,0.8806,0.8794
4,0.8517,0.859,0.8618,0.8673,0.8703,0.8703,0.8703,0.8728,0.8741,0.869,0.8733,0.8768,0.8681,0.868,0.8769,0.8749,0.8771,0.8748,0.8741,0.8733
