,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.8497,0.8635,0.8674,0.871,0.8693,0.8792,0.8756,0.8793,0.8754,0.8728,0.8764,0.8778,0.8826,0.8798,0.8774,0.881,0.8811,0.8827,0.8811,0.8801
1,0.8451,0.8628,0.867,0.8628,0.8696,0.87,0.873,0.8717,0.8753,0.8735,0.8764,0.8757,0.8752,0.8792,0.8783,0.8736,0.8798,0.8762,0.8761,0.8756
2,0.8514,0.8638,0.8679,0.8657,0.8708,0.874,0.8758,0.8753,0.8779,0.8745,0.878,0.8764,0.8795,0.8792,0.8767,0.88,0.878,0.8739,0.8796,0.8786
3,0.8436,0.8559,0.8657,0.8668,0.8713,0.871,0.8704,0.8749,0.8726,0.8701,0.8712,0.8717,0.8777,0.8765,0.8749,0.8778,0.878,0.8756,0.8772,0.8803
4,0.8515,0.8559,0.8634,0.8709,0.8667,0.8696,0.8765,0.8706,0.8722,0.869,0.8752,0.88,0.8775,0.88,0.8779,0.8801,0.8792,0.8758,0.8779,0.8765
