,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.948,0.9605,0.9656,0.9661,0.9684,0.968,0.9694,0.9718,0.9717,0.2153,0.9545,0.9584,0.9627,0.9634,0.9636,0.9647,0.9661,0.9672,0.9656,0.967
1,0.951,0.9637,0.9658,0.9691,0.9699,0.9718,0.9715,0.97,0.9724,0.2785,0.9499,0.9552,0.9567,0.9604,0.9605,0.9592,0.9608,0.961,0.9615,0.9615
2,0.9482,0.9576,0.964,0.9679,0.969,0.971,0.9723,0.9709,0.9704,0.1796,0.9424,0.9504,0.9559,0.9576,0.9592,0.9595,0.96,0.9622,0.9637,0.9634
3,0.951,0.9623,0.9664,0.9694,0.9676,0.9713,0.9713,0.9705,0.9709,0.2124,0.9446,0.9523,0.9543,0.9566,0.9598,0.9612,0.9634,0.9637,0.963,0.9653
4,0.9449,0.9559,0.9616,0.9653,0.9671,0.9688,0.9687,0.9682,0.9691,0.3397,0.9407,0.9474,0.9544,0.9556,0.9613,0.9596,0.9605,0.9603,0.9615,0.9616
