,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.9487,0.959,0.9643,0.9659,0.9703,0.9699,0.9701,0.9727,0.972,0.7222,0.9644,0.9667,0.9667,0.9695,0.9698,0.9696,0.9695,0.9703,0.9715,0.9701
1,0.9493,0.9551,0.9616,0.9626,0.9643,0.9667,0.9655,0.9671,0.9684,0.7037,0.9552,0.9583,0.9619,0.9632,0.964,0.9648,0.9666,0.9674,0.9673,0.9663
2,0.9454,0.9617,0.9654,0.9675,0.9676,0.9694,0.9713,0.9708,0.9705,0.7532,0.9611,0.962,0.9656,0.9663,0.9674,0.9675,0.9674,0.9663,0.9685,0.9669
3,0.9488,0.9593,0.9638,0.9667,0.9692,0.9677,0.9693,0.9708,0.9716,0.7425,0.9624,0.9642,0.9664,0.9676,0.9684,0.9683,0.9677,0.9699,0.9683,0.9698
4,0.9455,0.9593,0.9636,0.9688,0.9696,0.9723,0.9737,0.9738,0.9732,0.712,0.9643,0.9665,0.9677,0.9682,0.9681,0.9701,0.9694,0.9707,0.9713,0.9696
