,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.8459,0.8612,0.8544,0.8695,0.8687,0.872,0.8752,0.8726,0.8738,0.8705,0.8774,0.8738,0.8748,0.8766,0.8714,0.8798,0.8716,0.8776,0.8773,0.8805
1,0.8492,0.8555,0.8651,0.866,0.8679,0.8734,0.8742,0.8739,0.8764,0.8695,0.8708,0.8763,0.8769,0.8753,0.8758,0.8765,0.874,0.8749,0.876,0.8792
2,0.851,0.8635,0.8616,0.8605,0.8728,0.8752,0.8707,0.8757,0.8784,0.8714,0.8747,0.8773,0.8765,0.8772,0.8739,0.877,0.876,0.88,0.8781,0.8782
3,0.8493,0.8609,0.8688,0.8669,0.8749,0.875,0.8772,0.8754,0.8733,0.8734,0.8795,0.8773,0.8779,0.8782,0.8803,0.8803,0.8779,0.877,0.881,0.8801
4,0.8443,0.8635,0.8704,0.8712,0.8746,0.8747,0.8754,0.8742,0.872,0.8736,0.875,0.8783,0.875,0.8741,0.8755,0.8761,0.8808,0.8789,0.878,0.8797
