,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.8549,0.8604,0.8668,0.8664,0.8727,0.8702,0.873,0.8763,0.8749,0.8756,0.8749,0.876,0.8792,0.8798,0.8771,0.8801,0.8756,0.88,0.8756,0.8774
1,0.8482,0.8602,0.8639,0.8678,0.868,0.8703,0.875,0.8741,0.8791,0.8794,0.8784,0.8771,0.8788,0.8797,0.8828,0.8786,0.8787,0.8774,0.8802,0.8766
2,0.8466,0.859,0.8645,0.8687,0.8722,0.8715,0.8737,0.8748,0.8753,0.8772,0.876,0.878,0.8791,0.8765,0.8786,0.8813,0.8786,0.8808,0.8803,0.8769
3,0.8474,0.8622,0.865,0.8682,0.871,0.8736,0.8731,0.8734,0.8765,0.8725,0.8743,0.8752,0.8805,0.8776,0.8784,0.8767,0.8747,0.8791,0.8773,0.8791
4,0.8487,0.8591,0.8652,0.8682,0.8713,0.8751,0.8738,0.8744,0.8742,0.8769,0.8779,0.8773,0.879,0.8776,0.8782,0.874,0.874,0.8799,0.8791,0.877
