,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.8494,0.8605,0.8658,0.8687,0.8718,0.8727,0.875,0.8754,0.8766,0.8651,0.8723,0.8761,0.8737,0.8692,0.8755,0.8765,0.8763,0.876,0.8748,0.8766
1,0.8523,0.8588,0.8667,0.8676,0.869,0.8705,0.8752,0.8741,0.8768,0.8639,0.8737,0.8709,0.8731,0.8719,0.8781,0.8754,0.8741,0.8755,0.8783,0.8774
2,0.8514,0.8629,0.8645,0.8682,0.8703,0.8716,0.8701,0.8727,0.8736,0.8609,0.8743,0.8764,0.8769,0.8752,0.877,0.8787,0.874,0.8793,0.8812,0.878
3,0.8523,0.8614,0.8649,0.8712,0.868,0.8761,0.8716,0.8758,0.8773,0.8635,0.8693,0.8723,0.8748,0.8761,0.8718,0.8751,0.8765,0.8792,0.8755,0.8774
4,0.8499,0.8587,0.8634,0.8648,0.8743,0.8706,0.8759,0.8751,0.8754,0.86,0.8717,0.8689,0.8715,0.8726,0.8744,0.8735,0.8802,0.8784,0.8756,0.8759
