,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.4239,0.4575,0.4723,0.477,0.4852,0.4875,0.4918,0.4992,0.4995,0.4173,0.469,0.4825,0.4835,0.4869,0.4838,0.4864,0.4956,0.4898,0.4921,0.494
1,0.4385,0.4565,0.4676,0.4764,0.4817,0.4869,0.4902,0.4947,0.4995,0.4166,0.476,0.4772,0.4758,0.4831,0.4797,0.4815,0.4883,0.4829,0.4847,0.4885
2,0.4271,0.4481,0.4653,0.4795,0.4826,0.4838,0.4857,0.4939,0.4898,0.3929,0.4675,0.4685,0.4702,0.4815,0.4823,0.4812,0.4795,0.4828,0.4834,0.4865
3,0.4223,0.4524,0.4597,0.4656,0.4811,0.4775,0.4823,0.4874,0.492,0.4217,0.4694,0.4661,0.4805,0.4755,0.4745,0.4789,0.4797,0.4832,0.4839,0.4916
4,0.4317,0.4564,0.4704,0.4761,0.4744,0.4845,0.4803,0.482,0.4859,0.4117,0.4633,0.4736,0.476,0.4777,0.4746,0.4769,0.4789,0.4756,0.4747,0.4806
