,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.9452,0.9594,0.9645,0.965,0.9693,0.9704,0.9675,0.9671,0.9717,0.9728,0.9704,0.9712,0.9715,0.9716,0.9729,0.9712,0.9711,0.9691,0.9693,0.9707
1,0.9472,0.9572,0.9629,0.9644,0.9658,0.9692,0.9692,0.9697,0.9698,0.9714,0.973,0.9727,0.9718,0.9731,0.9737,0.9724,0.9737,0.9717,0.973,0.9726
2,0.9465,0.9581,0.9641,0.9664,0.9678,0.9691,0.9705,0.9717,0.9727,0.9732,0.9711,0.9718,0.9718,0.9713,0.9703,0.9723,0.9721,0.9713,0.9715,0.9716
3,0.9483,0.9598,0.9665,0.9698,0.9701,0.9705,0.971,0.9739,0.9732,0.9725,0.9741,0.9733,0.9724,0.9732,0.9737,0.9727,0.9733,0.9739,0.9735,0.9722
4,0.9497,0.9611,0.9653,0.968,0.9693,0.9701,0.9707,0.9711,0.9703,0.9712,0.9712,0.9728,0.9722,0.9721,0.9733,0.9731,0.9733,0.9705,0.9741,0.9721
