,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.4322,0.4505,0.4679,0.476,0.4852,0.4862,0.4889,0.4937,0.4881,0.491,0.4981,0.495,0.4926,0.4963,0.4949,0.5,0.4896,0.4989,0.4866,0.4951
1,0.431,0.4595,0.4713,0.4788,0.4847,0.4899,0.4887,0.4912,0.4873,0.4855,0.4908,0.4938,0.4867,0.4936,0.4935,0.492,0.4916,0.4926,0.4918,0.4908
2,0.4286,0.4557,0.4713,0.4847,0.4853,0.4967,0.4998,0.4924,0.4945,0.4972,0.5032,0.502,0.4998,0.5,0.4958,0.5009,0.4975,0.5014,0.502,0.4995
3,0.4235,0.4525,0.47,0.4756,0.4797,0.4811,0.4937,0.4867,0.4886,0.4918,0.4924,0.497,0.4966,0.4919,0.4925,0.4975,0.4996,0.5019,0.4974,0.4977
4,0.4235,0.4571,0.4758,0.4755,0.4879,0.4855,0.4904,0.4856,0.4977,0.4885,0.4964,0.4945,0.4917,0.4962,0.4999,0.4954,0.4883,0.4923,0.4944,0.4878
