,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.4308,0.4619,0.4687,0.4743,0.4898,0.4881,0.4906,0.4969,0.4916,0.4952,0.4982,0.499,0.4972,0.4985,0.4984,0.5004,0.501,0.4983,0.5008,0.4958
1,0.4293,0.4497,0.4656,0.474,0.4731,0.4815,0.4819,0.4838,0.4832,0.4914,0.4977,0.49,0.4956,0.4929,0.4986,0.4988,0.5001,0.4999,0.4954,0.4998
2,0.4312,0.4548,0.4696,0.4716,0.4766,0.4793,0.4846,0.4783,0.4938,0.4898,0.488,0.495,0.4926,0.498,0.4917,0.4953,0.4987,0.4918,0.4967,0.4935
3,0.4213,0.4446,0.4655,0.4726,0.4736,0.4765,0.4849,0.4871,0.4836,0.4858,0.4874,0.4958,0.4908,0.4887,0.4908,0.4932,0.4912,0.4865,0.4935,0.4948
4,0.4231,0.453,0.4684,0.474,0.4859,0.4897,0.489,0.4903,0.4952,0.4961,0.5001,0.499,0.5005,0.4956,0.4997,0.4948,0.4985,0.4938,0.4939,0.4978
