,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.8501,0.8584,0.8645,0.8666,0.8682,0.8715,0.8726,0.876,0.8751,0.2577,0.745,0.7597,0.7794,0.8051,0.81,0.815,0.821,0.8202,0.8219,0.8216
1,0.848,0.8576,0.8682,0.8724,0.8748,0.8731,0.8764,0.8757,0.8778,0.373,0.7398,0.7459,0.7762,0.7814,0.7879,0.8112,0.8173,0.8235,0.8262,0.8302
2,0.8519,0.8602,0.8624,0.8661,0.8694,0.8739,0.8683,0.8777,0.8783,0.2589,0.7682,0.7766,0.7829,0.8022,0.8042,0.8116,0.8131,0.8182,0.8175,0.8155
3,0.8476,0.8612,0.8643,0.8638,0.8724,0.874,0.8711,0.8762,0.8757,0.3346,0.7883,0.8114,0.8188,0.8201,0.8219,0.8264,0.827,0.8283,0.828,0.8288
4,0.8516,0.8577,0.8636,0.8662,0.8705,0.8679,0.8725,0.8752,0.8775,0.4561,0.7671,0.8029,0.8187,0.8252,0.825,0.8273,0.8273,0.829,0.83,0.8272
