,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0.8492,0.8589,0.8647,0.8687,0.8682,0.8715,0.8744,0.8753,0.8743,0.8229,0.8752,0.8756,0.8745,0.8712,0.8752,0.8758,0.8776,0.8741,0.8742,0.8738
1,0.8486,0.8567,0.8651,0.8648,0.8724,0.8711,0.8731,0.8746,0.8777,0.8427,0.8706,0.8735,0.8769,0.8802,0.8768,0.8805,0.8797,0.8772,0.8795,0.8783
2,0.8488,0.8605,0.8633,0.8687,0.8717,0.873,0.8774,0.8739,0.878,0.8374,0.875,0.8698,0.8734,0.8769,0.8757,0.8765,0.8782,0.8795,0.8744,0.8752
3,0.8495,0.8623,0.8669,0.8685,0.8704,0.8732,0.8723,0.8782,0.8756,0.8083,0.8715,0.8748,0.8792,0.8791,0.8782,0.8766,0.878,0.8807,0.8767,0.8807
4,0.8482,0.8602,0.8623,0.8672,0.8712,0.8664,0.8733,0.8746,0.8754,0.8082,0.8662,0.8775,0.8759,0.8737,0.8738,0.8763,0.8769,0.8779,0.8742,0.8768
